Troquel, Codigo de barras, Codigo de barras 2, Descripcion, Descripcion extendida, Rubro, SubRubro, Cod.Labo, Laboratorio, Costo s/IVA, Vigencia, Fecha Alta
4565, 7790440668306, 7790440668306, DAYAMINERAL 30 CMP, , ESPECIALIDADES, , 37, ABBOTT LABORATORIOS ARG.E, 26970.610, 25/06/2025, 
17431, 7795306419412, 7795306419412, ISOPTO CARP 2  GTS X 15ML, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 7687.380, 01/07/2025, 
17771, 7795306413762, 7795306413762, ISOPTOMAX GTS X 5 ML, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 11837.100, 01/07/2025, 
17851, 7792086748541, 7795306411652, ALCON ATROPINA 1  X 5 ML, , ESPECIALIDADES, , 6, ALCON LAB. ARGENTINA ESP, 15328.000, 01/07/2025, 
18182, 7795306413977, 7795306413977, ISOPTOMAX UNG OFT X 3.5 G, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 13115.320, 01/07/2025, 14/07/2020
18421, 7795328056442, 7795328056442, MEDILAXAN X 100 GRA, , ESPECIALIDADES, , 63, BETA S.A., 27137.830, 27/06/2025, 22/12/2021
18423, 7795328056435, 7795328056435, MEDILAXAN X 200 GRA, , ESPECIALIDADES, , 63, BETA S.A., 50189.010, 27/06/2025, 16/07/2024
20303, 7795328053595, 7795328053595, OXAGESIC 30 CMP, , ESPECIALIDADES, , 63, BETA S.A., 18610.990, 27/06/2025, 
20304, 7795328053564, 7795328053564, OXAGESIC 15 CMP, , ESPECIALIDADES, , 63, BETA S.A., 11783.550, 27/06/2025, 
33011, 7793742001673, 7793742001673, CLINAL PDA X 25 GR, , ESPECIALIDADES, , 16, ANDROMACO LAB. S.A.C. ESP, 17899.410, 01/07/2025, 
35171, 7793742001840, 7793742001840, CODELASA LIQ X 100 ML, , PSICOF.BOLETA, , 16, ANDROMACO LAB. S.A.C. ESP, 26297.800, 01/07/2025, 
38801, 7793742002212, 7793742002212, HIPOGLOS CICATR PVO X40GR, , ESPECIALIDADES, , 16, ANDROMACO LAB. S.A.C. ESP, 13781.650, 01/07/2025, 
51674, 7798129415678, 7798129415678, GENOZYM 60 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 50216.240, 19/06/2025, 
51675, 7798129415661, 7795380010536, GENOZYM 20 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 26627.340, 19/06/2025, 
55971, 7795349010010, 7795349010010, ALZATEN GTS X 20 ML, , ESPECIALIDADES, , 23, ARISTON S.A.C.I., 24240.731, 01/07/2025, 
59013, 7795349000486, 7795349000486, BUTIMERIN PVO X 20 GR, , ESPECIALIDADES, , 23, ARISTON S.A.C.I., 31535.779, 01/07/2025, 
59273, 7795349011666, 7795349011666, ALZATEN DISG X 20 CMP, , ESPECIALIDADES, , 23, ARISTON S.A.C.I., 23364.350, 01/07/2025, 
70302, 7798239770629, 7798239770629, YECTAFER 5 AMP, , ESPECIALIDADES, , 959, RONTAG, 36703.859, 12/06/2025, 
70303, 7798239770636, 7798006871719, YECTAFER 10 AMP X 2 ML, , ESPECIALIDADES, , 959, RONTAG, 73407.730, 12/06/2025, 14/02/2025
80491, 7798032938561, 7798032938561, FABOGESIC FLEXI 75 X 10C, , ESPECIALIDADES, , 1169, SAVANT(RETAIL), 7148.900, 16/04/2025, 03/01/2025
82101, 7791848205018, 7791848205018, HOLOMAGNESIO 50 CMP, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 68164.880, 25/06/2025, 
82102, 7791848205025, 7791848205025, HOLOMAGNESIO 100 CMP, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 114294.540, 25/06/2025, 
82103, 7791848205124, 7791848205124, HOLOMAGNESIO 20 CMP, , ESPECIALIDADES, , 201, ELEA-PHOENIX, 27855.060, 25/06/2025, 
85191, 7796285286644, 7796285286644, ADERMICINA CR 30 GR, , ESPECIALIDADES, , 1050, ELEA O.T.C, 16442.250, 25/06/2025, 26/06/2020
86181, 7795334000415, 7795334000415, PALATROBIL GTS X 120 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 12750.000, 14/06/2025, 
