Troquel, Codigo de barras, Codigo de barras 2, Descripcion, Descripcion extendida, Rubro, SubRubro, Cod.Labo, Laboratorio, Costo s/IVA, Publico, Vigencia, Fecha Alta
111, 7792129003583, 7792129003583, SUCARYL X 50 SOB CLASICO, , ALIMENTOS, EDULCORANTES, 533, MERISANT, 1356.790, 2380.350, 04/06/2025, 31/05/2017
1001, 8470001547927, 8470001547927, NUTRATOPIC CREMA PRO50ML, CREMA X 40 ML, COSMIATRIA, TRAT.FACIA/CORP, 381, ISDIN ARG. S.A., 22424.000, 39342.900, 09/06/2025, 19/04/2017
1005, 8470003245920, 8470003245920, ACNIBEN CONT GEL-CR EQU40, CONTROL BRILLOS Y GRANOS EQUILIBRANTE X 40 ML, COSMIATRIA, TRAT.FACIA/CORP, 381, ISDIN ARG. S.A., 34321.000, 60216.190, 09/06/2025, 19/04/2017
6044, 7795334080011, 7795334080011, PALATROBIL TE X 25 SAQ, , COSMIATRIA, , 531, MONSERRAT ECLAIR LAB., 3562.270, 6250.000, 14/06/2025, 28/11/2020
62721, 7798129415913, 7798129415913, NOSOAP JAB X 80 GR, , COSMIATRIA, JABONES, 1564, SIEGFRIED S.A, 4031.260, 7072.840, 19/06/2025, 
109264, 7790375245054, 7790375245054, BAGOVIT A CR X 200 GR, , COSMIATRIA, TRAT.FACIA/CORP, 1456, BAGO (O.T.C.), 11081.840, 20200.670, 18/06/2025, 
509691, 7796285291532, 7796285291532, INFILTREX 60CMP P/P30 OFF, INFILTREX X 60 CMP PACK PROMO 30   OFF, COSMIATRIA, SUPLEM.DIETARIO, 1050, ELEA O.T.C, 15454.600, 27115.090, 25/06/2025, 25/04/2023
600587, 7795323775393, 7795323775393, NUTRILON PRO POUCH 2X1.2K, NUTRILON PROFUTURA POUCH 2 X 1.2 K, ALIMENTOS, LECHES, 38, NUTRICIA-BAGO, 31976.180, 56102.000, 01/07/2025, 10/08/2020
600588, 7795323775409, 7795323775409, NUTRILON PRO POUCH 3X1.2K, NUTRILON PROFUTURA POUCH 3 X 1.2 K, ALIMENTOS, LECHES, 38, NUTRICIA-BAGO, 28193.080, 49465.000, 01/07/2025, 10/08/2020
600589, 7795323775416, S795323775416, NUTRILON PRO POUCH 4X1.2K, NUTRILON PROFUTURA POUCH 4 X 1.2 K, ALIMENTOS, LECHES, 38, NUTRICIA-BAGO, 25012.140, 43884.000, 01/07/2025, 10/08/2020
600883, 7791914001957, 7791914001957, OXIMETRO CORO AD S/CURVA, OXIMETRO CORONET ADULTO SIN CURVA POD-2, COSMIATRIA, PROD.MEDICO ACC, 1746, SEISEME S.A., 15571.660, 0.000, 03/04/2025, 22/02/2023
601000, 7891024030806, 7509546686448, COLG ENJ KIDS MINIONS 250, COLGATE ENJUAGUE BUCAL PLAX MINIONS X 250 ML, PERFUMERIA, CREM/ENJ BUCALE, 127, COLGATE PALMOLIVE S.A.I.C, 3080.230, 0.000, 31/05/2024, 30/08/2016
601003, 7790808033104, 7790808033104, MASC JUEGO ASPEN KIT ULTR, MASC+TUBO+MANG P/NEBU NU320.NU410.NU610ULTRASONICO, COSMIATRIA, PROD.MEDICO ACC, 1158, TENACTA S.A., 7318.110, 0.000, 07/03/2025, 13/02/2025
601700, 7798094546056, 7798094546056, MUNE PTM ABIER REG NEOP S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 3459.230, 0.000, 12/03/2025, 12/04/2017
601701, 7798128672157, 7798128672157, MUNE PTM ABIER REG NEOP M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 3459.230, 0.000, 12/03/2025, 12/04/2017
601702, 7798094546063, 7798094546063, MUNE PTM ABIER REG NEOP L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 3459.230, 0.000, 12/03/2025, 12/04/2017
601703, 7798094546094, 7798094546094, MUNE PTM BOOM D/LIBRE UNI, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5019.150, 0.000, 12/03/2025, 12/04/2017
601704, 7798094546100, 7798094546100, MUNE PTM BOOM C/DED NEO S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5349.050, 0.000, 12/03/2025, 12/04/2017
601705, 7798128672171, 7798128672171, MUNE PTM BOOM C/DED NEO M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5349.050, 0.000, 12/03/2025, 12/04/2017
601706, 7798094546117, 7798094546117, MUNE PTM BOOM C/DED NEO L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5349.050, 0.000, 12/03/2025, 12/04/2017
601707, 7798094547879, 7798094547879, CABESTRI PTM DOB TIRA S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6570.640, 0.000, 12/03/2025, 12/04/2017
601708, 7798094547886, 7798094547886, CABESTRI PTM DOB TIRA M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6570.640, 0.000, 12/03/2025, 12/04/2017
601709, 7798094547893, 7798094547893, CABESTRI PTM DOB TIRA L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6570.640, 0.000, 12/03/2025, 12/04/2017
601710, 7798094540269, 7798094540269, FAJA PTM SOF ELAS S (28, FAJA PTM SOF REG ELAS S CINT EXT 63-75CM ALT 28, COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6775.110, 0.000, 12/03/2025, 29/07/2024
601711, 7798094540276, 7798094540276, FAJA PTM SOF ELAS M (28, FAJA PTM SOFT REG ELAS M CINT EXT 75-87CM ALT 28, COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6775.110, 0.000, 12/03/2025, 12/04/2017
601712, 7798094540283, 7798094540283, FAJA PTM SOF ELAS L (28, FAJA PTM SOFT REG ELAS L CINT EXT 87-99CM ALT 28, COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6775.110, 0.000, 12/03/2025, 12/04/2017
601713, 7798094540290, 7798094540290, FAJA PTM SOF ELAS XL (28, FAJA PTM SOFT REG ELAS XL CINT 99-111CM ALT 28, COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6775.110, 0.000, 12/03/2025, 12/04/2017
601714, 7798094546469, 7798094546469, TOBI PTM C/AJU OCHO ELA S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 7290.520, 0.000, 12/03/2025, 12/04/2017
601715, 7798094546476, 7798094546476, TOBI PTM C/AJU OCHO ELA M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 7290.520, 0.000, 12/03/2025, 12/04/2017
601716, 7798094546483, 7798094546483, TOBI PTM C/AJU OCHO ELA L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 7290.520, 0.000, 12/03/2025, 12/04/2017
601717, 7798094546490, 7798094546490, TOBI PTM C/AJU OCH ELA XL, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 7290.520, 0.000, 12/03/2025, 12/04/2017
601718, 7798094546421, 7798094546421, TOBI PTM NEOP S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5908.720, 0.000, 12/03/2025, 12/04/2017
601719, 7798094546438, 7798094546438, TOBI PTM NEOP M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5908.720, 0.000, 12/03/2025, 12/04/2017
601720, 7798094540306, 7798094540306, FAJA PTM SOF ELAS XXL(28, FAJA PTM SOFT REG ELAS XXL CINT EXT111-123CM ALT28, COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 6775.110, 0.000, 12/03/2025, 12/04/2017
601721, 7798094546254, 7798094546254, RODI PTM SOST ROTU NEOP S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 10386.120, 0.000, 12/03/2025, 12/04/2017
601722, 7798094545981, 7798094545981, FAJA PTM ABDOMI NEOP S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 18402.840, 0.000, 12/03/2025, 12/04/2017
601723, 7798094545998, 7798094545998, FAJA PTM ABDOMI NEOP M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 18402.840, 0.000, 12/03/2025, 12/04/2017
601724, 7798094546445, 7798094546445, TOBI PTM NEOP L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5908.720, 0.000, 12/03/2025, 12/04/2017
601725, 7798094546001, 7798094546001, FAJA PTM ABDOMI NEOP L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 18402.840, 0.000, 12/03/2025, 12/04/2017
